Crop,MinKG_0.1ha,MaxKG_0.1ha
CABBAGE (REPOLYO),1500,2500
CAULIFLOWER (KOLIPLAWER),1000,1800
BANANA BLOSSOM (PUSO NG SAGING),500,800
ALUGBATI (MALABAR SPINACH),800,1200
CAMOTE TOPS (TALBOS NG KAMOTE),500,1000
CHAYOTE LEAVES (DAHON NG SAYOTE),1200,2000
GABI LEAVES (DAHON NG GABI),1000,1500
KANGKONG (WATER SPINACH),2000,3000
MALUNGGAY (MORINGA),1500,2500
PECHAY, CHINESE (BOK CHOY),1200,2000
PECHAY, NATIVE,1000,1500
ONION LEAVES (DAHON NG SIBUYAS),600,1000
SILING LABUYO (WILD CHILI),300,500
SIBUYAS (ONION) RED,1000,1800
LABANOS (RADISH),1500,2500
SITAW (LONG BEAN),1000,1500
AMPALAYA (BITTER GOURD),1000,1500
OPO (BOTTLE GOURD),2000,3000
TALONG (EGGPLANT) NATIVE,1200,2000
LUYA (GINGER),1000,2000
BAWANG (GARLIC),300,600
KAMATIS (TOMATO),1000,1400
CARROTS (KAROT),2000,3500
BROCCOLI (BROKOLI),1000,1500
SINGKAMAS (JICAMA),1800,2500
SIBUYAS (ONION) WHITE,1000,1800
CHINESE CABBAGE (BAGUIO PECHAY),1500,2500
MUSTASA (MUSTARD GREEN),800,1200
SAYOTE (CHAYOTE FRUIT),3000,6000
KALABASA (SQUASH),1000,2000
SQUASH BLOSSOM (BULAKLAK NG KALABASA),200,400
OKRA,800,1200
LUYA (YELLOW GINGER),1000,1800
SILING-GREEN (LONG),800,1200
SAMPALOC (TAMARIND),500,1000
TALONG (EGGPLANT) ROUND/PURPLE,1500,2500
PATOLA (SPONGE GOURD),1500,2500
UPONG BATO (PATANI / LIMA BEAN),500,800
SALUYOT (JUTE MALLOW),700,1200
KADYOS (PIGEON BEAN),100,300
BATAW (HYACINTH BEAN),700,1200
KAMOTENG KAHOY (CASSAVA),800,1500
GABI (TARO),1000,2000
SILING-TAMBAN (BELL PEPPER),1200,2000
PATATAS (POTATO),1000,2000
LETTUCE (LITSUGAS),800,1500
GREEN BEANS (BAGUIO BEANS),1000,1500
SILING LABUYO (RED CHILI),300,500
KOLITIS/URAY (AMARANTH),800,1200
BATUAN,300,600
TOGUE (BEAN SPROUTS),5000,6000
PAKO (FIDDLEHEAD FERN),300,500
MUSHROOM (OYSTER/FRESH),500,1000
LEMON GRASS (TANGLAD),1500,2500
KUTSAY/CHIVES,1000,1500
LABONG (BAMBOO SHOOT),1000,1500
ARARU (ARROWROOT),800,1200
KAMOTE (SWEET POTATO),800,1600
GABI (TARO ROOT),1000,2000
UBE (PURPLE YAM),1200,1800
SINANDOMENG RICE (PALAY),400,600
DINORADO RICE (PALAY),400,600
JASMINE RICE (PALAY),300,500
MALAGKIT RICE (PALAY),300,450
BALAO / WAXY RICE (PALAY),300,450
MILAGROSA RICE (PALAY),300,500
IR-64 RICE (PALAY),400,700
BROWN RICE (PALAY),400,600
RED RICE (PALAY),300,400
LAON RICE (PALAY),300,600
