Gulay (Vegetable),Presyo ng Pagbebenta (PHP/Kilo)
Hot Pepper (Sili),"3,300.00"
Ampalaya (Bitter Gourd),"3,000.00"
Eggplant (Talong),"3,000.00"
Tomato (Kamatis),"3,000.00"
Sweet Pepper (Bell Pepper),"3,000.00"
Cucumber (Pipino),"1,500.00"
Squash (Kalabasa),"1,200.00"
Patola (Sponge Gourd),925.00
Upo (Bottle Gourd),700.00
Carrot (Karot),650.00
Cauliflower (Koliflower),650.00
Broccoli,650.00
Cabbage (Repolyo),600.00
Onion (Sibuyas),550.00
Pechay (Bok Choy),500.00
Radish (Labanos),500.00
Snap Beans (Bagiw),500.00
Garden Peas (Kadyos/Chicharo),500.00
Pole Sitao (Yardlong Bean),420.00
Mustard (Mustasa),350.00
Okra,350.00
Bush Sitao,300.00
Banana Blossom (Puso Ng Saging),120.00
Talbos Ng Kamote (Camote Tops),150.00
Dahon Ng Sayote (Chayote Leaves),120.00
Gabi Leaves (Dahon Ng Gabi),100.00
Pechay (Native),500.00
Dahon Ng Sibuyas (Onion Leaves),550.00
Siling Labuyo (Wild Chili),3,300.00
Singkamas (Jicama),120.00
Sibuyas Na Puti (White Onion),550.00
Baguio Pechay (Napa Cabbage),600.00
Bulaklak Ng Kalabasa (Squash Blossom),200.00
Siling Haba (Long Chili),3,000.00
Sampaloc (Tamarind),200.00
Talong (Eggplant - Round),3,000.00
Patani (Lima Bean),500.00
Saluyot (Jute Mallow),150.00
Bataw (Hyacinth Bean),420.00
Siling Labuyo (Red Chili),3,300.00
Kolitis/Uray (Amaranth),150.00
Togue (Bean Sprouts),120.00
Pako (Fiddlehead Fern),200.00
Mushroom (Oyster/Fresh),250.00
Kutsay (Chives),200.00
Labong (Bamboo Shoot),150.00
Araru (Arrowroot),120.00
Sinandomeng Rice,60.00
Dinorado Rice,70.00
Jasmine Rice,80.00
Malagkit (Sticky Rice),75.00
Milagrosa Rice,80.00
Pinawa (Brown Rice),70.00
Pulang Bigas (Red Rice),90.00
Talong (Eggplant - Native),3,000.00
Bok Choy (Chinese Cabbage),500.00
Sitaw (String Bean),420.00
Brokoli (Broccoli),650.00
Mustasa (Mustard Leave),350.00
Okra (Lady's Finger),350.00
Siling-Tamban (Bell Pepper),3,000.00
Litsugas (Lettuce),500.00
Green Beans (Baguio Beans),500.00
Kadyos (Pigeon Bean),500.00
