Vegetable,Year,Month,MonthNum,Date,Price,Annual_Price
Ampalaya,2018,January,1,1/1/2018,45.72,43.56
Ampalaya,2018,February,2,2/1/2018,40.18,43.56
Ampalaya,2018,March,3,3/1/2018,35.94,43.56
Ampalaya,2018,April,4,4/1/2018,30.81,43.56
Ampalaya,2018,May,5,5/1/2018,35.63,43.56
Ampalaya,2018,June,6,6/1/2018,40.51,43.56
Ampalaya,2018,July,7,7/1/2018,45.89,43.56
Ampalaya,2018,August,8,8/1/2018,50.77,43.56
Ampalaya,2018,September,9,9/1/2018,55.45,43.56
Ampalaya,2018,October,10,10/1/2018,50.36,43.56
Ampalaya,2018,November,11,11/1/2018,45.19,43.56
Ampalaya,2018,December,12,12/1/2018,40.23,43.56
Ampalaya,2019,January,1,1/1/2019,50.55,48.45
Ampalaya,2019,February,2,2/1/2019,45.91,48.45
Ampalaya,2019,March,3,3/1/2019,40.16,48.45
Ampalaya,2019,April,4,4/1/2019,35.34,48.45
Ampalaya,2019,May,5,5/1/2019,40.48,48.45
Ampalaya,2019,June,6,6/1/2019,45.96,48.45
Ampalaya,2019,July,7,7/1/2019,50.27,48.45
Ampalaya,2019,August,8,8/1/2019,55.89,48.45
Ampalaya,2019,September,9,9/1/2019,60.1,48.45
Ampalaya,2019,October,10,10/1/2019,55.43,48.45
Ampalaya,2019,November,11,11/1/2019,50.17,48.45
Ampalaya,2019,December,12,12/1/2019,45.7,48.45
Ampalaya,2020,January,1,1/1/2020,55.87,53.07
Ampalaya,2020,February,2,2/1/2020,50.09,53.07
Ampalaya,2020,March,3,3/1/2020,45.71,53.07
Ampalaya,2020,April,4,4/1/2020,40.93,53.07
Ampalaya,2020,May,5,5/1/2020,45.54,53.07
Ampalaya,2020,June,6,6/1/2020,50.16,53.07
Ampalaya,2020,July,7,7/1/2020,55.99,53.07
Ampalaya,2020,August,8,8/1/2020,60.42,53.07
Ampalaya,2020,September,9,9/1/2020,65.3,53.07
Ampalaya,2020,October,10,10/1/2020,60.84,53.07
Ampalaya,2020,November,11,11/1/2020,55.77,53.07
Ampalaya,2020,December,12,12/1/2020,50.15,53.07
Ampalaya,2021,January,1,1/1/2021,60.2,58.0
Ampalaya,2021,February,2,2/1/2021,55.85,58.0
Ampalaya,2021,March,3,3/1/2021,50.27,58.0
Ampalaya,2021,April,4,4/1/2021,45.69,58.0
Ampalaya,2021,May,5,5/1/2021,50.15,58.0
Ampalaya,2021,June,6,6/1/2021,55.78,58.0
Ampalaya,2021,July,7,7/1/2021,60.91,58.0
Ampalaya,2021,August,8,8/1/2021,65.5,58.0
Ampalaya,2021,September,9,9/1/2021,70.08,58.0
Ampalaya,2021,October,10,10/1/2021,65.71,58.0
Ampalaya,2021,November,11,11/1/2021,60.29,58.0
Ampalaya,2021,December,12,12/1/2021,55.63,58.0
Ampalaya,2022,January,1,1/1/2022,65.15,63.44
Ampalaya,2022,February,2,2/1/2022,60.03,63.44
Ampalaya,2022,March,3,3/1/2022,55.88,63.44
Ampalaya,2022,April,4,4/1/2022,50.79,63.44
Ampalaya,2022,May,5,5/1/2022,55.02,63.44
Ampalaya,2022,June,6,6/1/2022,60.17,63.44
Ampalaya,2022,July,7,7/1/2022,65.95,63.44
Ampalaya,2022,August,8,8/1/2022,70.36,63.44
Ampalaya,2022,September,9,9/1/2022,75.14,63.44
Ampalaya,2022,October,10,10/1/2022,70.8,63.44
Ampalaya,2022,November,11,11/1/2022,65.72,63.44
Ampalaya,2022,December,12,12/1/2022,60.29,63.44
Ampalaya,2023,January,1,1/1/2023,70.93,68.06
Ampalaya,2023,February,2,2/1/2023,65.17,68.06
Ampalaya,2023,March,3,3/1/2023,60.01,68.06
Ampalaya,2023,April,4,4/1/2023,55.9,68.06
Ampalaya,2023,May,5,5/1/2023,60.12,68.06
Ampalaya,2023,June,6,6/1/2023,65.99,68.06
Ampalaya,2023,July,7,7/1/2023,70.08,68.06
Ampalaya,2023,August,8,8/1/2023,75.25,68.06
Ampalaya,2023,September,9,9/1/2023,80.4,68.06
Ampalaya,2023,October,10,10/1/2023,75.06,68.06
