PHILIPPINES,Year,Month,Price,Annual Price,MonthNum,Date
"REPOLYO (CABBAGE), 1 KG",2018,January,73.71,80.68,1,1/1/2018
"KOLIFLOWER (CAULIFLOWER), 1 KG",2018,January,93.57,113.63,1,1/1/2018
"BANANA BLOSSOM (PUSO NG SAGING), 1 KG",2018,January,24.16,28.58,1,1/1/2018
"ALUGBATI (MALABAR SPINACH), 1 KG",2018,January,49.79,51.13,1,1/1/2018
"CAMOTE TOPS (TALBOS NG KAMOTE), 1 KG",2018,January,32.01,34.01,1,1/1/2018
"CHAYOTE LEAVES (DAHON NG SAYOTE), 1 KG",2018,January,34.99,33.83,1,1/1/2018
"GABI LEAVES (DAHON NG GABI), 1 KG",2018,January,76.57,73.26,1,1/1/2018
"KANGKONG (WATER SPINACH), 1 KG",2018,January,29.16,32.25,1,1/1/2018
"MALUNGGAY (MORINGA), 1 KG",2018,January,49.91,50.97,1,1/1/2018
"BOK CHOY (CHINESE CABBAGE), 1 KG",2018,January,63.01,64.95,1,1/1/2018
"PECHAY (NATIVE), 1 KG",2018,January,67.63,65.23,1,1/1/2018
"DAHON NG SIBUYAS (ONION LEAVES), 1 KG",2018,January,90.01,93.16,1,1/1/2018
"SILING LABUYO (WILD CHILI), 1 KG",2018,January,185.39,192.97,1,1/1/2018
"SIBUYAS (ONION), 1 KG",2018,January,130.65,133.42,1,1/1/2018
"LABANOS (RADISH), 1 KG",2018,January,30.55,28.12,1,1/1/2018
"SITAW (STRING BEAN), 1 KG",2018,January,35.83,38.19,1,1/1/2018
"AMPALAYA (BITTER GOURD), 1 KG",2018,January,45.72,43.56,1,1/1/2018
"UPO (BOTTLE GOURD), 1 KG",2018,January,35.24,33.46,1,1/1/2018
"TALONG (EGGPLANT), (NATIVE), 1 KG",2018,January,35.58,33.44,1,1/1/2018
"LUYA (GINGER), 1 KG",2018,January,90.54,100.53,1,1/1/2018
"BAWANG (GARLIC), 1 KG",2018,January,180.64,176.77,1,1/1/2018
"KAMATIS (TOMATO), 1 KG",2018,January,45.47,48.49,1,1/1/2018
"KAROT (CARROT), 1 KG",2018,January,55.25,55.98,1,1/1/2018
"BROKOLI (BROCCOLI), 1 KG",2018,January,120.91,118.49,1,1/1/2018
"SINGKAMAS (JICAMA), 1 KG",2018,January,25.43,24.55,1,1/1/2018
SIBUYAS NA PUTI (WHITE ONION) 1 KG,2018,January,120.19,118.45,1,1/1/2018
"BAGUIO PECHAY (NAPA CABBAGE), 1 KG",2018,January,50.36,51.57,1,1/1/2018
"MUSTASA (MUSTARD LEAVE), 1 KG",2018,January,35.53,34.54,1,1/1/2018
"SAYOTE (CHAYOTE), 1 KG",2018,January,28.11,27.74,1,1/1/2018
"KALABASA (SQUASH), 1 KG",2018,January,20.37,22.22,1,1/1/2018
